id,keyID,creationTimestamp,bsonObjectId,dernierTimeTampsSynchronisationAvecFireBase,dernierFireBaseUpdateTimestamps,count_Don_Depot,processPositioningInFactory,idParentCategorie,positionDonSonCesFrereCategorieProduits,nom,nomMutable,nomArab,autreNomDarticle,etateActuelleOnFusionAvecBaseDonne,tag_prioriter_str,nombreUniteInt,nombreProduitDonSonCarton,its_Carton,cartonState,heldPrioriteDemandAuGrossist,position_store_3jamale,dernier_timeTamps_position_store_3jamale,prixDefiniParGerant,prixVent,cachePrixVent,pourcentage_Prix_Progressive,prixAchat,prixAchatDernierTimeTempUpdate,clientPrixVentUnite,afficheUniteAuPrint,actualiseSonImage,actualiseSonImageTest2,afficheCesDetailPourComptBsonId,disponibilityEtates,disponibilityEtates_Pour_presentaion_par_Camion,keyFireBase,couleur1,couleur2,couleur3,couleur4,couleur5,couleur6,couleur7,couleur8,couleur9,idcolor1,idcolor2,idcolor3,idcolor4,idcolor5,idcolor6,idcolor7,idcolor8,idcolor9,nomCategorie2,affichageUniteState,commmentSeVent,afficheBoitSiUniter,minQuan,monBenfice,neaon2,funChangeImagsDimention,nomCategorie,neaon1,lastUpdateState,dateCreationCategorie,prixDeVentTotaleChezClient,benficeTotaleEntreMoiEtClien,benificeTotaleEn2,monPrixAchatUniter,monPrixVentUniter,articleHaveUniteImages,itsNewArrivale,imageDimention,idForSearchArticles,prioriter,quantite_Boit_Par_Carton,setIN_Vent_Its_Quantity_Represent
10,-OV3rmTfv1RVCax896N1,1774844086889,684fdff4df922c49f829568a,1779313445011,1763504355677,103,CreeAuGeneralHandler,77,0,Kool Gateau®,,كول غاتو,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",24,1,false,itsCarton,false,0,0,0.0,510.0,false,60,495.0,0,25.0,false,0,0,,DISPO,NON_DISPO,-OV3rmTfv1RVCax896N1,🎁 standard 🎁,,,,,,,,,8,0,0,0,0,0,0,0,0,gateaux serir,false,,,1,15.0,,false,,0.0,,,600.0,0.0,600.0,0.0,0.0,false,false,,0,,8,quantity_Par_Boit
1000,-OV3rmThoK4Cn7toDnLV,1774956683449,684fdff4df922c49f829568b,1774956736847,1749164170162,0,CreeAuGeneralHandler,68,0,qaada yoopiz,,قعدة يوبيز,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",18,1,false,New Catalogue,false,0,0,0.0,1601.0,false,60,1584.0,0,0.0,false,0,0,,NON_DISPO,NON_DISPO,-OV3rmThoK4Cn7toDnLV,Standart,,,,,,,,,93,0,0,0,0,0,0,0,0,familial gateaux,true,,,1,17.0,,false,,0.0,,,0.0,0.0,-1601.0,88.94444444444444,800.5,false,false,,0,,1,quantity_Par_Boit
1001,-OV3rmTinc-Nm4qyaciS,1774956683456,684fdff4df922c49f829568c,1774956736847,1749164170162,0,CreeAuGeneralHandler,68,0,qaada brut chocolat 120 da,,قعدة بروت شوكولا 120 دا,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",18,1,false,New Catalogue,false,0,0,0.0,1961.0,false,60,1944.0,0,0.0,false,0,0,,NON_DISPO,NON_DISPO,-OV3rmTinc-Nm4qyaciS,Standart,,,,,,,,,93,0,0,0,0,0,0,0,0,familial gateaux,true,,,1,17.0,,false,,0.0,,,0.0,0.0,-1961.0,108.94444444444444,980.5,false,false,,0,,1,quantity_Par_Boit
1002,-OV3rmTkN17ineEN1Qmb,1774956683461,684fdff4df922c49f829568d,1774956736847,1749164170162,0,CreeAuGeneralHandler,68,0,qaada brut sec,,قعدة بروت سيك,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",18,1,false,New Catalogue,false,0,0,0.0,1637.0,false,60,1620.0,0,0.0,false,0,0,,NON_DISPO,NON_DISPO,-OV3rmTkN17ineEN1Qmb,Standart,,,,,,,,,93,0,0,0,0,0,0,0,0,familial gateaux,true,,,1,17.0,,false,,0.0,,,0.0,0.0,-1637.0,90.94444444444444,818.5,false,false,,0,,1,quantity_Par_Boit
1003,-OV3rmTlyDINTDKypQJq,1774956683466,684fdff4df922c49f829568e,1774956736847,1749164170162,0,CreeAuGeneralHandler,68,0,qaada brut sec chocolat,,قعدة بروت سيك شوكولا,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",18,1,false,New Catalogue,false,0,0,0.0,1907.0,false,60,1890.0,0,0.0,false,0,0,,NON_DISPO,NON_DISPO,-OV3rmTlyDINTDKypQJq,Standart,,,,,,,,,93,0,0,0,0,0,0,0,0,familial gateaux,true,,,1,17.0,,false,,0.0,,,0.0,0.0,-1907.0,105.94444444444444,953.5,false,false,,0,,1,quantity_Par_Boit
1004,-OV3rmTnmP705S2kKjxT,1774956683471,684fdff4df922c49f829568f,1774956736847,1749164170162,0,CreeAuGeneralHandler,69,0,major,,ماجور,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",20,1,false,New Catalogue,false,0,0,0.0,1640.0,false,60,1600.0,0,0.0,false,0,0,,NON_DISPO,NON_DISPO,-OV3rmTnmP705S2kKjxT,cream,blanche,chocolat,,,,,,,137,96,2,0,0,0,0,0,0,gateau kbir,true,,,1,40.0,,false,,0.0,,,0.0,0.0,-1640.0,82.0,820.0,false,false,,0,,1,quantity_Par_Boit
1005,-OV3rmTp8gA-4fJljDkO,1774956683475,684fdff4df922c49f8295690,1774956736847,1749164170162,0,CreeAuGeneralHandler,69,0,avantage,,افانتاج,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",18,1,false,New Catalogue,false,0,0,0.0,1610.64,false,60,1574.64,0,0.0,false,0,0,,NON_DISPO,NON_DISPO,-OV3rmTp8gA-4fJljDkO,Standart,,,,,,,,,93,0,0,0,0,0,0,0,0,gateau kbir,true,,,1,36.0,,false,,0.0,,,0.0,0.0,-1610.64,89.48,805.32,false,false,,0,,1,quantity_Par_Boit
1006,-OV3rmTqB7bzaxFp2GHi,1774956683479,684fdff4df922c49f8295691,1774956736847,1749164170162,0,CreeAuGeneralHandler,67,0,regalo cookies familiay,,ريغالو كوكيز فاميلي,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",12,1,false,New Catalogue,false,0,0,0.0,0.0,false,60,0.0,0,0.0,false,0,0,,NON_DISPO,NON_DISPO,-OV3rmTqB7bzaxFp2GHi,blanch,noire,,,,,,,,138,109,0,0,0,0,0,0,0,familial cookies,true,,,1,0.0,,false,,0.0,,,0.0,0.0,0.0,0.0,0.0,false,false,,0,,1,quantity_Par_Boit
1007,-OV3rmTrTp_YFrp0gPpA,1774956683482,684fdff4df922c49f8295692,1774956736848,1749164170162,0,CreeAuGeneralHandler,68,0,qaada choco bars,,قعدة شوكو بارز,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",18,1,false,New Catalogue,false,0,0,0.0,1968.0,false,60,1944.0,0,0.0,false,0,0,,NON_DISPO,NON_DISPO,-OV3rmTrTp_YFrp0gPpA,Standart,,,,,,,,,93,0,0,0,0,0,0,0,0,familial gateaux,true,,,1,24.0,,false,,0.0,,,0.0,0.0,-1968.0,109.33333333333333,984.0,false,false,,0,,1,quantity_Par_Boit
1008,-OV3rmTtUD004TfcEEHU,1774956683485,684fdff4df922c49f8295693,1774956736848,1749164170163,0,CreeAuGeneralHandler,68,0,tortat,,تورتات,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",12,1,false,New Catalogue,false,0,0,0.0,1824.0,false,60,1800.0,0,0.0,false,0,0,,NON_DISPO,NON_DISPO,-OV3rmTtUD004TfcEEHU,cerise,mechmach,noisette,,,,,,,139,140,141,0,0,0,0,0,0,familial gateaux,true,,,1,24.0,,false,,0.0,,,0.0,0.0,-1824.0,152.0,912.0,false,false,,0,,1,quantity_Par_Boit
1009,-OV3rmTuzTNgOUA0AbYX,1774956683488,684fdff4df922c49f8295694,1774956736848,1759258179870,0,CreeAuGeneralHandler,77,0,rs,,رس,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",24,1,false,New Catalogue,false,0,0,0.0,471.0,false,60,456.0,0,0.0,false,0,0,,NON_DISPO,NON_DISPO,-OV3rmTuzTNgOUA0AbYX,Standart,,,,,,,,,93,0,0,0,0,0,0,0,0,gateaux serir,true,,,1,15.0,,false,,0.0,,,0.0,0.0,-471.0,19.625,235.5,false,false,,0,,1,quantity_Par_Boit
101,-OV3rmTvJ_03hWo27pp2,1774956683493,684fdff4df922c49f8295695,1774956736816,1762853122494,0,CreeAuGeneralHandler,45,0,s,,مايستيك,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",20,1,false,,false,0,0,0.0,265.0,false,60,245.0,0,0.0,false,0,0,,DISPO,NON_DISPO,-OV3rmTvJ_03hWo27pp2,🌿 نعناع 🌿,🍓 Fraise 🍓,🍋 Citron 🍋,,,,,,,24,10,31,0,0,0,0,0,0,Chwingums Stick,false,,,1,30.0,,true,,0.0,,2024/09/09,400.0,0.0,105.0,14.75,241.5,false,false,,0,,1,quantity_Par_Boit
