keyID,creationTimestamp,dernierTimeTampsSynchronisationAvecFireBase,appDesignedPourWorkingGrossisst3Ali,its_mode_affiche_que_produits_au_depot,mode_edite_dispo,credit_fait,nom,autres_Noms_SepareParComma,deviceModelNom,deviceModelId,period_Qui_Doit_Etre_Au_Entre,separeted_by_commas_keys_clients_a_cible_groupe_n1,keys_clients_a_cible_groupe_n2,keys_clients_a_cible_groupe_n3,image_detail_produit_s_affiche,presentoireEBoutiqueFilterProduitDuCatalogueAvecBsonObjectId,hideAppScreen,travailleChezGrossisst3Ali,affiche_toujoure_tariffs_tournet,its_Admin,c_Ouvert_Pour_Au_Command_Add_Period,text_Message_Warning,ne_affiche_que_fragment,itsProductionModePourCeCompt,ceComptVendeurInsertBonsAchatAuPeriodID,ceComptVendeurStartAffichePeriod,migreSonDataBaseAuStart,cConnectAuDevelopingDataBaseAuRelodApp,mainInitDataBaseProgressEtate,filter_marqueClient_Name,next_start,force_next_start_,activeDialogSearchM1Produit,active_ProduitKeyID_Au_DroopDown_PresenterEcran,active_CouleurKeyID_Extended_Image,affiche_Dialog_Fast_Affiche_Panie_App4,affiche_ProduitDataBaseEdites_ComposableViews,couleurAchateOperationIdOuvertPourCeCompt,couleurAchateOperationKeyOuvertPourCeCompt,ouvertProduitOnVentNom,current_OnVent_M14VentPeriode_KeyID,current_OnVent_M14VentPeriode_DebugInfos,onVentM8BonVentKey,onVentM8BonVentDebugInfos,onVentM1ProduitInfosKeyID,onVentM1ProduitInfosDebugName,onVentM3CouleurProduitInfosKeyID,onVentM3CouleurProduitDebugInfos,dialogAboveAll_OutlinedSearchListProduits,dialogChoisireQuantityM1ProduitInfosKeyID,dialogChoisireQuantityM1ProduitInfosDebugName,activeFocuce_TariffPrixDifineur_M1ProduitKeyID,activeFocuceTariffPrixDifineurM1ProduitDebugInfos,startTextSearchM1Produit,click_On_Marque,KeyByParent,vid,limite_couleurs_ou_leur_last_achate_est_moin_que_jour
-OTmoNn0cljrRuhVR2s4,1751814449939,1751815512672,true,true,false,0.0,Abdelmoumenn,,DT10-TAB4G,,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,1.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,-OUVKmA4zjLmwUZv_cuJ,testtt,null,null,null,null,false,-OTrj4DkJQUJEkSDWM_u,Liya®,null,null,,Standart,,1,30
-OTmoNn0cljrRuhVR2s5,1752525324549,1762330163751,true,true,false,0.0,Abdelwahab Travaille Chez Gross,,Note8,RKQ1.201004.002,,""",""",""",""",""",""",true,t1,false,true,false,true,true,,,false,6,6,false,false,0.8545455,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,-OcqX9vahiEJw215qBfh,(M14=(M9=Abdelwahab Travaille Chez Gross[AY2])[Bfh]),-Od4FiT-hL-_9fGapcP3,Bon[p.cli->(M2=ز.180[HIO])) [pcP3]),,,null,null,false,null,null,-OV3rmX6C0q4hQnXlISd,null,,Standart,,5,30
-OTmoNn0cljrRuhVR2s6,1752525324549,1764539241117,true,true,false,0.0,Abdelwahab Travaille Chez Gross,,Note8,RKQ1.201004.002,,""",""",""",""",""",""",false,t1,false,true,false,true,true,,,false,6,6,false,false,0.85,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,-OcqX9vahiEJw215qBfh,(M14=(M9=Abdelwahab Travaille Chez Gross[AY2])[Bfh]),-OfLh74Y6E0p6srM_CCT,Bon[p.cli->test5) [_CCT]),,,null,null,false,null,null,null,null,,Standart,,5,30
-OTmoNn0cljrRuhVR2s7,1752525324549,1766074750717,true,true,false,0.0,amine_tahfid,,Note8,RKQ1.201004.002,,""",""",""",""",""",""",true,t1,false,true,false,true,true,,tahfid_classe,false,6,6,false,false,1.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,-OdoQLyLbD52cTbYgeM7,(M14=(M9=Abdelwahab Travaille Chez Gross[AY2])[eM7]),null,null,,,null,null,false,null,null,null,null,,Standart,,5,30
-OTmoNn0cljrRuhVR2s9,1752525324549,1766074750717,true,true,false,0.0,kissm_intikali_madrasa,,Note8,RKQ1.201004.002,,""",""",""",""",""",""",true,t1,false,true,false,true,true,,kissm_intikali_madrasa,false,6,6,false,false,1.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,-OdoQLyLbD52cTbYgeM7,(M14=(M9=telephone_de_presentation[AY2])[eM7]),null,null,,,null,null,false,null,null,null,null,,Standart,,9,30
-OV9dYujH9cA3yEx8AY2,1775200826550,1780851983959,true,true,false,0.0,Abdelwahab Travaille Chez Gross,,Redmi Note 8,RKQ1.201004.002,,""",""",""",""",""",""",true,,false,true,false,true,true,,,false,0,0,false,false,0.75384617,CIBLE_ET_CELUIT_ON_A_PASSE_A_EUX,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,false,,,,-OuQIAbCpvusGUuEPrEE,rEE,-OuRdzPQ-qJwVqm6Sbno,Bon[p.cli->Omar . M3a Chikh Qusquette) [Sbno]),,,null,null,false,null,null,null,null,,Standart,,1,1000
-OV9dYujH9cA3yEx8AYT,1752525324549,1757586402606,true,true,false,0.0,Abdelwahab,,Note8,RKQ1.201004.002,,""",""",""",""",""",""",true,t1,false,false,false,true,true,,,false,6,6,false,false,0.90909094,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,-OZfDqO9UYutpBK6PN3J,(M14=(M9=Abdelwahab Travaille Chez Gross[AY2])[N3J]),null,null,,,null,null,false,null,null,null,null,,Standart,,1,30
-OV9edQZecDczbx-ndPl,1752525609273,1766427859513,true,true,false,6000.0,Abdelwahab,,Note8,RKQ1.201004.002,,""",""",""",""",""",""",true,-OV3rmZAZ7pkfE671NUq,false,false,false,true,true,,,false,6,6,false,false,0.7818182,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,-OV3rmZAZ7pkfE671NUq,-OWDMIZZ3Uzuyab9nRXY,false,true,,,,-OWPLIlI2mYLfKBwPq0-,(M14=(M9=Abdelwahab[DPL])[q0-]),null,null,,,null,null,false,null,null,null,null,,Standart,,1,30
-OpCm7ALM-lK6rjspBU6,1775126481949,1775126481949,true,true,false,0.0,,,Redmi Note 8,RKQ1.201004.002,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-OpCpSOIsjjNZ76l5Zhr,1775127353395,1775127353395,true,true,false,0.0,,,DT10-TAB4G,PPR1.180610.011,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
