keyID,creationTimestamps,dernierTimeTampsSynchronisationAvecFireBase,its_created_in_working_for_wholesaler,commetaire,prix_de_Vent_entre_directement_NewProto,its_Linked_To_Autre_Vent_Si_NonDispo,linked_To_M10OperationVent_KeyID,linked_To_M10OperationVent_DebugInfos,siNonDispoParentM10Vent_it_parent_M3CouleurInfos_KeyId,siNonDispoParentM10Vent_it_parent_M1Produit_Nom,parent_M9AppCompt_KeyID,parent_M9AppCompt_DebugInfos,parent_M14VentPeriod_KeyId,parent_M14VentPeriod_DebugInfos,parentEPeriodVentStartDate,parent_M8BonVent_KeyId,parent_M8BonVent_DebugInfos,parent_M1Produit_KeyId,parent_M1Produit_DebugInfos,parent_M1Produit_Nom,parentProduitInfosOldId,parent_M3CouleurProduit_KeyID,parent_M3CouleurProduit_DebugInfos,parentM13TarificationKeyID,parentM13TarificationDebugInfos,etateActuellementEst,provisoireMonPrix,etateDelivery,lence_pour_check,premier_Check_Donne,last_update_premier_Check_Donne_TimeTamps,non_places_au_depot,pas_Dispo_Pour_Aujourduit,typeTarificationEnumT2,parentClientInfosKeyID,parentClientName,type,achatParentBsonIDOld,quantite_Boit_Par_Carton,quantity,setIN_Vent_Its_Quantity_Represent,affiche_Unite_Au_Printing,parent_M2Client_KeyID
-OotPC5awmqOlytus-yo,1774784664767,1774786768432,true,,0.0,false,,,,,-OV9dYujH9cA3yEx8AY2,null,-OohgbJL9I9oMEu4KIx9,null,0,-OoqetglHO10AdYgNlEi,Bon[p.cli->Abdelwahab Marke Wach Dina Échantillon ) [NlEi]),-OV3rmYodo1064IS2G1U,par.produit Soray®,,0,-OWDMGXQojQ1mNCpEcsm,03Coul[{ECSM}  To [{2G1U} ]],-Og0xUOTAVj2ogAXAdcV,Soray® Prix_Detaille,CreeSlote,0.0,Trouve,false,false,0,false,false,Historique,,,CommandeDeLui,,5,6,quantity_Par_Boit,true,-Oh4W0-igT_bXGOo-LC_
-OotPD67cQ80CLSsd-Mk,1774784668897,1774786771754,true,,0.0,false,,,,,-OV9dYujH9cA3yEx8AY2,null,-OohgbJL9I9oMEu4KIx9,null,0,-OoqetglHO10AdYgNlEi,Bon[p.cli->Abdelwahab Marke Wach Dina Échantillon ) [NlEi]),-OV3rmYff1hZ74Nk_sjc,par.produit Reglize حلقومة®,,0,-OWDMGWJE1IlVe7YkCgU,03Coul[{KCGU}  To [{_SJC} ]],-OZnCSxpTg12E7wuGAqy,Reglize حلقومة® Prix_Detaille,CreeSlote,0.0,Trouve,false,false,0,false,false,Historique,,,CommandeDeLui,,1,21,quantity_Par_Boit,true,-Oh4W0-igT_bXGOo-LC_
-OotPHnqzklB_qOmwHRZ,1774784688143,1774784688143,true,,0.0,false,,,,,-OV9dYujH9cA3yEx8AY2,null,-OohgbJL9I9oMEu4KIx9,null,0,-OoqetglHO10AdYgNlEi,Bon[p.cli->Abdelwahab Marke Wach Dina Échantillon ) [NlEi]),-OV3rmZxDbCxgtjlqQcO,-OV3rmZxDbCxgtjlqQcO,,0,-OWDMJwZusjMEGv-M_GQ,03Coul[{M_GQ}  To [{QQCO} ]],-OaugEbvmOjSXc1C-K2u,jelly loubia dydo[QQCO] Historique,CreeSlote,0.0,Trouve,false,false,0,false,false,Historique,,,CommandeDeLui,,4,4,quantity_Par_Boit,true,-Oh4W0-igT_bXGOo-LC_
-OotPKLIVWJYPhoK86BV,1774784698540,1774784707868,true,,0.0,false,,,,,-OV9dYujH9cA3yEx8AY2,null,-OohgbJL9I9oMEu4KIx9,null,0,-OoqetglHO10AdYgNlEi,Bon[p.cli->Abdelwahab Marke Wach Dina Échantillon ) [NlEi]),-OatXXVji-6A_OPcfUQb,par.produit Cornet Bidon el bolkan,,0,-OatXXVji-6A_OPcfUQa,03Coul[{FUQA}  To [{FUQB} ]],-OfYckKgKn6zVozLXPVX,Cornet Bidon el bolkan[FUQB] Historique,CreeSlote,0.0,Trouve,false,false,0,false,false,Historique,,,CommandeDeLui,,3,6,quantity_Par_Boit,true,-Oh4W0-igT_bXGOo-LC_
-OotPKM8a5rlhaRO2_pt,1774784698594,1774784698594,true,,0.0,false,,,,,-OV9dYujH9cA3yEx8AY2,null,-OohgbJL9I9oMEu4KIx9,null,0,-OoqetglHO10AdYgNlEi,Bon[p.cli->Abdelwahab Marke Wach Dina Échantillon ) [NlEi]),-OatXXVji-6A_OPcfUQb,-OatXXVji-6A_OPcfUQb,,0,-OatXXVji-6A_OPcfUQa,03Coul[{FUQA}  To [{FUQB} ]],-OfYckKgKn6zVozLXPVX,Cornet Bidon el bolkan[FUQB] Historique,CreeSlote,0.0,Trouve,false,false,0,false,false,Historique,,,CommandeDeLui,,3,3,quantity_Par_Boit,true,-Oh4W0-igT_bXGOo-LC_
-OotPQ2IYCH30gtl4TE_,1774784721900,1774784726171,true,,0.0,false,,,,,-OV9dYujH9cA3yEx8AY2,null,-OohgbJL9I9oMEu4KIx9,null,0,-OoqetglHO10AdYgNlEi,Bon[p.cli->Abdelwahab Marke Wach Dina Échantillon ) [NlEi]),-OV3rmYt0NatTOD0AER5,par.produit Rym®,,0,-OWDMI15250V4yS6VuGN,03Coul[{VUGN}  To [{AER5} ]],-Oe_8VnGfQta5_Nfcmzr,Rym®[AER5] Historique,CreeSlote,0.0,Trouve,false,false,0,false,false,Historique,,,CommandeDeLui,,1,20,quantity_Par_Boit,true,-Oh4W0-igT_bXGOo-LC_
-OotPVOfvgbXZd41uCMD,1774784743812,1774784747431,true,,0.0,false,,,,,-OV9dYujH9cA3yEx8AY2,null,-OohgbJL9I9oMEu4KIx9,null,0,-OoqetglHO10AdYgNlEi,Bon[p.cli->Abdelwahab Marke Wach Dina Échantillon ) [NlEi]),-OV3rmUj0Lh8T7rqgBn5,par.produit boit scusa daffodil,,0,-OWDMKvyl6_NwOtMXBNF,03Coul[{XBNF}  To [{GBN5} ]],-OdjmOrNKbS_bOjAlKFl,boit scusa daffodil Prix_Detaille,CreeSlote,0.0,Trouve,false,false,0,false,false,Prix_Detaille,,,CommandeDeLui,,6,18,quantity_Par_Boit,true,-Oh4W0-igT_bXGOo-LC_
-OoxsDxCSx5MbhM39oQc,1774859644803,1774859737639,false,,0.0,false,,,,,-OV9dYujH9cA3yEx8AY2,null,-Oox4CknaYAhbAAiMYZi,null,0,-Ooxs41VQKehSzxOcYBe,Bon[p.cli->Abdelwahab Marke Wach Dina Échantillon ) [cYBe]),-OoiHtp-5V7Spb08Mqzm,-OoiHtp-5V7Spb08Mqzm,,0,-OoiHtozi75_8lLPT16e,03Coul[{T16E}  To [{MQZM} ]],-OoxsXlFS0TN0Yo6JwTX,Wiwi Jelly Tariff_ItsWorkInGrossist_SuperGros,CreeSlote,0.0,Trouve,false,false,0,false,false,Prix_Detaille,,,CommandeDeLui,,6,1,quantity_Par_Boit,true,-Oh4W0-igT_bXGOo-LC_
-OoxsEw53uuWqyL-ME-j,1774859648828,1774859737644,false,,0.0,false,,,,,-OV9dYujH9cA3yEx8AY2,null,-Oox4CknaYAhbAAiMYZi,null,0,-Ooxs41VQKehSzxOcYBe,Bon[p.cli->Abdelwahab Marke Wach Dina Échantillon ) [cYBe]),-OoiHtp-5V7Spb08Mqzm,-OoiHtp-5V7Spb08Mqzm,,0,-OoxkHKdAqBNXlZTZjE5,03Coul[{ZJE5}  To [{MQZM} ]],-OoxsXlFS0TN0Yo6JwTX,Wiwi Jelly Tariff_ItsWorkInGrossist_SuperGros,CreeSlote,0.0,Trouve,false,false,0,false,false,Prix_Detaille,,,CommandeDeLui,,6,1,quantity_Par_Boit,true,-Oh4W0-igT_bXGOo-LC_
-Op4xai3ZzMvg2U7Dsy4,1774995270664,1775370153834,false,,0.0,false,,,,,-OV9dYujH9cA3yEx8AY2,null,-Oox4CknaYAhbAAiMYZi,null,0,-Op4u9T7KSOL5x5PSYa-,Bon[p.cli->Jomla Promo Sel3a) [SYa-]),-Op4xW-js3FL1xrRwJsI,-Op4xW-js3FL1xrRwJsI,,0,-Op4xW-i8E8xjgVaaJvy,03Coul[{AJVY}  To [{110P} ]],-Op4xW_yB6htRoHappMz,Gominola 110p Tariff_ItsWorkInGrossist_SuperGros,CreeSlote,0.0,Trouve,false,false,0,false,false,Prix_Detaille,,,CommandeDeLui,,1,1,quantity_Par_Boit,true,-Op4u9T7KSOL5x5PSYa0
