keyID,id,creationTimestamps,dernierTimeTampsSynchronisationAvecFireBase,defaultNonSaved_Entre,its_From_CalculeParNewBenifice,laisse_Au_Gerant,typeChoisi,prixCurrency,profitMargin,suggestedUpgrade,parent_M14VentPeriod_KeyId,parent_M14VentPeriod_DebugInfos,parent_M1Produit_KeyId,parent_M1Produit_DebugInfos,parent_M8BonVent_KeyId,parent_M8BonVent_DebugInfos,parent_M2Client_KeyId,parent_M2Client_DebugInfos
-OXNHzWvKF7IRf84OvNE,0,1766424144777,1766424144777,true,true,false,Historique,0.0,0.0,,,,-OV3rmWnL4sNhMeEuJL5,rigalis[UJL5],null,null,null,null
-OXNIjxm790kxkgXiZTA,0,1766424144777,1766424144777,true,true,false,Historique,90.0,0.0,,,,-OV3rmWhnLKyQfwvtEkY,Cotex®[TEKY],null,null,null,null
-OXNJ9LX90dxlxaxyW-q,0,1766424144937,1766424144937,true,true,false,Edited_Pour_Client,388.0,0.0,,,,-OXNJ7BHKEfUGQ_Szl-7,caps vyouli,-OXNGymsMF4S9e0Yjm-W,Bon[p.cli->(M2=الاخ زواوي محمد[VUC])) [jm-W]),-OWI8JStDnDIEDnoBVuC,(M2=الاخ زواوي محمد[VUC])
-OXNJKJcAEt5s_lqAoPD,0,1766424144937,1766424144937,true,true,false,Historique,378.0,0.0,,,,-OXNJ7BHKEfUGQ_Szl-7,caps vyouli,-OXNGymsMF4S9e0Yjm-W,Bon[p.cli->(M2=الاخ زواوي محمد[VUC])) [jm-W]),-OWI8JStDnDIEDnoBVuC,(M2=الاخ زواوي محمد[VUC])
-OXNKg-xz_wwT_vA_tnw,0,1766424144937,1766424144937,true,true,false,Historique,1700.0,0.0,,,,-OV3rmUBmDALpfYLxYWr,thina looz[XYWR],null,null,null,null
-OXNOdg4TLEJE4pB4d2m,0,1754909097872,1763057533470,true,true,false,Prix_Detaille,665.0,0.0,,,,-OV3rmYe3K84d_tZpsHV,Laser Pil®[PSHV],null,null,null,null
-OXNPudXvteqwtCJQQ8X,0,1754904079012,1754904079012,true,true,false,Prix_Detaille,106.0,0.0,,,,-OV3rmZsos_VMYUIDXMo,hanna nssibti la3ziza sachet[DXMO],null,null,null,null
-OXNRCikyfi1GYMLWI_p,0,1754904194313,1759228743243,true,true,false,Prix_Detaille,168.0,0.0,,,,-OV3rmZd4YAAZq5pAOrF,befliore[AORF],null,null,null,null
-OXNTWWssjFkNktErf4l,0,1754904825865,1756225694346,true,true,false,Prix_Detaille,181.0,0.0,,,,-OV3rmZic-n6p9zZ9TF1,dorex[9TF1],null,null,null,null
-OXNVjtx_VVSw3GyzEVC,0,1754905410909,1754905410909,true,true,false,Prix_Detaille,123.0,0.0,,,,-OV3rmVzVKcHINPRF1No,Extra Sencible®[F1NO],null,null,null,null
-OXNZ-uDjofSBNdY9vFg,0,1754906322210,1754906322210,true,true,false,Prix_Detaille,67.0,0.0,,,,-OV3rmW4dda4qAS_NXzr,المسواك صغير Local®[NXZR],null,null,null,null
-OXNaBMTQTkb4fFzbrKr,0,1754906814570,1754906814570,true,true,false,Prix_Detaille,2032.0,0.0,,,,-OV3rmZqyfab9zBgAZ8a,bimbies 84[AZ8A],null,null,null,null
