keyID,debugInfos,creationTimestamp,dernierTimeTampsSynchronisationAvecFireBase,its_in_echantiallants,its_pour_affiche_au_presenter,parentProduit_Classement,processPositioningInFactory,aAffiche,nomImageFichieSansEtansion,telephone_Prise_depuit,count_Don_Depot,a_cammende_depuit_grossist,nomCouleurStrSiSonImageDispo,parentBProduitInfosKeyID,parentBProduitOldID,parentId1ProduitInfosDebugName,indexCouleurDansAncienProto,extensionDisponible,dernier_achant_timeTamp
-OsLsiH0gTO23d5B4f-r,,1778500428387,1778500428387,false,false,,CreeAuGeneralHandler,Image,Non Dispo,,0,0,,,0,,0,webp
-OWDMGJxnNu_xLLIIhhD,,1753661379205,1753661379243,false,false,,CreeAuGeneralHandler,Image,Non Dispo,,0,0,🎨 Multi Couleur 🎨,-OV3rmTd5eH1g966kwtX,1,Empty,0,webp,0
-OWDMGKsnReAaqOHO5iH,,1753661379263,1776758160038,false,false,,CreeAuGeneralHandler,Image,4_1,,0,0,🍫 chocolat 🍫,-OV3rmY8d9w3wRilPxfW,4,Praline®,0,webp,0
-OWDMGL0_HoEYTToXxjN,,1753661379272,1774962057855,false,false,,CreeAuGeneralHandler,Image,Non Dispo,,0,0,🍒 Ceris 🍒,-OV3rmY8d9w3wRilPxfW,4,Praline®,1,webp,0
-OWDMGLA1Ai-WZJfiYA5,,1753661379282,1774962057856,false,false,,CreeAuGeneralHandler,Image,Non Dispo,,0,0,🥛 lait 🥛,-OV3rmY8d9w3wRilPxfW,4,Praline®,2,webp,0
-OWDMGLgJ20nQSzGHrBi,,1753661379315,1775286226295,false,false,,CreeAuGeneralHandler,Image,8_0,,0,0,🟨 صفراء 🟨,-OV3rmZ41s0yNo5A49Iy,8,Chiwawa 10 دج®,0,webp,0
-OWDMGLqQF9mDeiaJ5rH,,1753661379325,1753661379341,false,false,,CreeAuGeneralHandler,Image,Non Dispo,,0,0,🉐 بيضاء 🉐,-OV3rmZ41s0yNo5A49Iy,8,Chiwawa 10 دج®,1,webp,0
-OWDMGLxuXjNb8b2BAkF,,1753661379333,1753661379342,false,false,,CreeAuGeneralHandler,Image,Non Dispo,,0,0,[Barbrqu]©,-OV3rmZ41s0yNo5A49Iy,8,Chiwawa 10 دج®,2,webp,0
-OWDMGMLvF6Z7kEwxu6h,,1753661379357,1779257781811,false,false,,CreeAuGeneralHandler,Image,10_1,,0,9,🎁 standard 🎁,-OV3rmTfv1RVCax896N1,10,Kool Gateau®,0,webp,0
-OWDMGMrzQSp5z3LTvQe,,1753661379390,1776758160039,false,false,,CreeAuGeneralHandler,Image,11_1,,0,9,🎁 standard 🎁,-OV3rmV299PAL48HhtvO,11,Maxon Gateau®,0,webp,0
-OWDMGNJu_MZVj4BvONP,,1753661379419,1753661379438,false,false,,CreeAuGeneralHandler,Image,12_1,,0,0,🥛 Blanche 🥛,-OV3rmV6qnbGig5bxhI1,12,Besto Blanche®,0,webp,0
-OWDMGNlxu12fXn6w7va,,1753661379448,1777554604356,false,false,,CreeAuGeneralHandler,Image,16_0,,0,0,🍓 Fraise 🍓,-OV3rmVIHmcNA9sAPBBH,16,Melyna®,0,webp,0
-OWDMGNtJPn6TAiGBlZH,,1753661379456,1777554604357,false,false,,CreeAuGeneralHandler,Image,16_1,,0,0,🍡 fruité 🍡,-OV3rmVIHmcNA9sAPBBH,16,Melyna®,1,webp,0
-OWDMGO0xl0FFFmI2wDy,,1753661379464,1753661379471,false,false,,CreeAuGeneralHandler,Image,Non Dispo,,0,0,🥞 Caramel 🥞,-OV3rmVIHmcNA9sAPBBH,16,Melyna®,2,webp,0
-OWDMGOKToIDnmalDdFI,,1753661379484,1778423695032,false,true,78,CreeAuGeneralHandler,Image,17_1,,0,8,🎨 Multi Couleur 🎨,-OV3rmVLWbx3OSOdpaHl,17,Dragon®,0,webp,0
-OWDMGOt8UtmQ5FA5ld6,,1753661379520,1778423695033,false,true,65,CreeAuGeneralHandler,Image,21_1,,0,9,🍡 fruité 🍡,-OV3rmVk8fcsCUgmUWF5,21,Toffini®,0,webp,0
-OWDMGP0tavc6YbON-C_,,1753661379528,1778423695037,false,true,65,CreeAuGeneralHandler,Image,21_2,,0,0,unite,-OV3rmVk8fcsCUgmUWF5,21,Toffini®,1,jpg,0
-OWDMGPU4fdmCfM4WTkg,,1753661379558,1765232227441,false,false,,CreeAuGeneralHandler,Image,23_1,,0,0,🍌 Banane 🍌,-OV3rmVnRA_zxDCggHhy,23,Gominola,0,webp,0
-OWDMGPbw14XU7ehdbpp,,1753661379566,1753661379583,false,false,,CreeAuGeneralHandler,Image,Non Dispo,,0,0,🐛 دو5دة 🐛,-OV3rmVnRA_zxDCggHhy,23,Gominola,1,webp,0
-OWDMGPjjBvOwjeaB3HC,,1753661379574,1766388091909,false,false,,CreeAuGeneralHandler,Image,23_2,,0,0,?? خاتم 🍬,-OV3rmVnRA_zxDCggHhy,23,Gominola,2,webp,0
-OWDMGPrT1iVDuh-6W3u,,1753661379582,1765232227446,false,false,,CreeAuGeneralHandler,Image,Non Dispo,,0,0,🤏 اسنان 🤏,-OV3rmVnRA_zxDCggHhy,23,Gominola,3,webp,0
-OWDMGQ7GEA5zpzClVQj,,1753661379599,1753661379624,false,false,,CreeAuGeneralHandler,Image,24_1,,0,0,🌰 بندق 🌰,-OV3rmVpU5CZdqVUIc3H,24,Kool Break®,0,webp,0
